,Candidate,State,District,Office Type,Partisan Lean,Primary %,Won Primary,Gender,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,Hillary_Won?,Obama_Won?
0,Anthony White (Alabama),AL,Governor of Alabama,Governor,-0.28879999,0.034200001,No,Male,Nonwhite,Yes,No,No,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
1,Christopher Countryman,AL,Governor of Alabama,Governor,-0.28879999,0.0174,No,Male,White,No,Yes,No,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
2,"Doug ""New Blue"" Smith",AL,Governor of Alabama,Governor,-0.28879999,0.0327,No,Male,White,Yes,No,No,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
3,James C. Fields,AL,Governor of Alabama,Governor,-0.28879999,0.08,No,Male,Nonwhite,Yes,No,Yes,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
4,Sue Bell Cobb,AL,Governor of Alabama,Governor,-0.28879999,0.2898,No,Female,White,No,No,Yes,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
5,Walt Maddox,AL,Governor of Alabama,Governor,-0.28879999,0.5459999799999999,Yes,Male,White,No,No,Yes,No,No,No,0.6519505337856946,0.287923465034988,0.0323227935809028,0.3480494662143058,0.0238742003350945,0.513279040568479,0.3797805142766553,0.16811869226898202,39255.89333333333,0.09953541907983215,0.18840458342106628,0.8254616374492053,0.15126963871186722,0.793503840251568,0.6506366792216728,0,0
6,Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,-0.3068,0.1923,No,Female,Nonwhite,No,No,No,No,Yes,No,0.6242131164487494,0.3157363638907361,0.01859662697297865,0.3757868835512505,0.014678883805354122,0.5123343233216181,0.3755922846855109,0.17083994569624233,38195.333333333336,0.14212321373880044,0.16821231136546363,0.836931882159081,0.14101544997358237,0.8060363193982739,0.6347263577630077,0,0
7,Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,-0.3068,0.80769997,Yes,Male,Nonwhite,Yes,No,No,No,No,No,0.6242131164487494,0.3157363638907361,0.01859662697297865,0.3757868835512505,0.014678883805354122,0.5123343233216181,0.3755922846855109,0.17083994569624233,38195.333333333336,0.14212321373880044,0.16821231136546363,0.836931882159081,0.14101544997358237,0.8060363193982739,0.6347263577630077,0,0
8,Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,-0.33080002000000003,0.39560001,No,Female,Nonwhite,Yes,No,No,No,No,No,0.6193132881562476,0.32230393515714684,0.02894008665368973,0.38068671184375236,0.022724958023739292,0.5092950533497257,0.383724138053427,0.1666600861874365,39773.8,0.09871922919161788,0.19053105482145405,0.8211513867232826,0.14696446925594528,0.7845528202872043,0.6057605343452935,0,0
9,Tabitha Isner,AL,U.S. House Alabama District 2,Representative,-0.33080002000000003,0.60439999,Yes,Female,White,No,No,No,No,No,No,0.6193132881562476,0.32230393515714684,0.02894008665368973,0.38068671184375236,0.022724958023739292,0.5092950533497257,0.383724138053427,0.1666600861874365,39773.8,0.09871922919161788,0.19053105482145405,0.8211513867232826,0.14696446925594528,0.7845528202872043,0.6057605343452935,0,0
10,Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,-0.33659999999999995,0.34240002,No,Female,Nonwhite,No,No,No,No,Yes,No,0.6591959073251309,0.2872837962959753,0.026424689122262087,0.34080409267486905,0.02122094541780638,0.5153085141048165,0.3839159768223663,0.16572277297055948,40161.307692307695,0.08769154263133093,0.19220803381012463,0.8219174095299522,0.16015776014449876,0.7988015853323924,0.6012453510150679,0,0
11,Mallory Hagan,AL,U.S. House Alabama District 3,Representative,-0.33659999999999995,0.65739998,Yes,Female,White,No,No,No,No,No,No,0.6591959073251309,0.2872837962959753,0.026424689122262087,0.34080409267486905,0.02122094541780638,0.5153085141048165,0.3839159768223663,0.16572277297055948,40161.307692307695,0.08769154263133093,0.19220803381012463,0.8219174095299522,0.16015776014449876,0.7988015853323924,0.6012453510150679,0,0
12,Lee Auman,AL,U.S. House Alabama District 4,Representative,-0.6248,0.54130001,Yes,Male,White,No,No,No,No,No,No,0.8419299872220941,0.0776232258939461,0.05089679543447408,0.15807001277790603,0.029918161218258715,0.5095784721490567,0.3670294973150351,0.17712330876942034,39199.75,0.07916884150460257,0.20467307315419853,0.8544817288248961,0.18897829530166793,0.8463798560592743,0.7287217542278036,0,0
13,Rick Neighbors,AL,U.S. House Alabama District 4,Representative,-0.6248,0.45869999,No,Male,White,Yes,No,No,No,No,No,0.8419299872220941,0.0776232258939461,0.05089679543447408,0.15807001277790603,0.029918161218258715,0.5095784721490567,0.3670294973150351,0.17712330876942034,39199.75,0.07916884150460257,0.20467307315419853,0.8544817288248961,0.18897829530166793,0.8463798560592743,0.7287217542278036,0,0
14,Peter Joffrion,AL,U.S. House Alabama District 5,Representative,-0.34830002,1.0,Yes,Male,White,No,No,No,No,No,No,0.7879408976183621,0.12353722315222546,0.04659365129301584,0.21205910238163803,0.03703696944088906,0.5102469993595004,0.374201922530361,0.1601916026820704,48045.4,0.08091685941212591,0.15837995284427858,0.7607610223970217,0.14018571704158955,0.745372291942642,0.47792087690991053,0,0
15,Danner Kline,AL,U.S. House Alabama District 6,Representative,-0.48459999,1.0,Yes,Male,White,No,No,No,No,No,No,0.7293702064291466,0.19841124205491434,0.04885546504682394,0.27062979357085337,0.036364052008840825,0.5042004858938749,0.37121772359604954,0.15546272290830815,46670.333333333336,0.0774221517458279,0.17611468020186322,0.7954864949449815,0.1431338633014792,0.7736591817465215,0.629712448455263,0,0
16,Jared Henderson,AR,Governor of Arkansas,Governor,-0.28639999,0.63299999,Yes,Male,White,No,No,No,No,Yes,No,0.7598894579518506,0.15962037685050073,0.04949778799166796,0.24011054204814936,0.02910976185038769,0.5057783787532736,0.37290975999270437,0.18274511717522302,37496.1125,0.08072567706415672,0.17461241089923418,0.8448585429463784,0.15032358803894652,0.8308398035934015,0.6461238922677605,0,0
17,Leticia Sanders,AR,Governor of Arkansas,Governor,-0.28639999,0.36700001,No,Female,Nonwhite,No,No,No,No,No,No,0.7598894579518506,0.15962037685050073,0.04949778799166796,0.24011054204814936,0.02910976185038769,0.5057783787532736,0.37290975999270437,0.18274511717522302,37496.1125,0.08072567706415672,0.17461241089923418,0.8448585429463784,0.15032358803894652,0.8308398035934015,0.6461238922677605,0,0
18,Chintan Desai,AR,U.S. House Arkansas District 1,Representative,-0.34810001,1.0,Yes,Male,Nonwhite,No,No,No,No,No,No,0.7421592848777498,0.2090305202466486,0.026209023265460027,0.25784071512225004,0.01435459773422535,0.503544186207075,0.36552699180658993,0.1893416857852803,35319.9,0.08948980863305094,0.18915247556001893,0.8653474148912602,0.16852503805404503,0.8516458171755094,0.6415730404270586,0,0
19,Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,-0.1351,0.5782,Yes,Male,White,No,No,Yes,No,No,No,0.8258786351303127,0.10206141308319806,0.038882549175598614,0.1741213648696874,0.025501110955839745,0.5095101127616931,0.38633654147493457,0.1693438995893373,45209.0,0.07097237819659484,0.13430506067544187,0.7898811265620798,0.12346188674358986,0.7765492207338539,0.5886165731777947,0,0
20,Gwen Combs,AR,U.S. House Arkansas District 2,Representative,-0.1351,0.20299999,No,Female,White,Yes,No,No,No,No,No,0.8258786351303127,0.10206141308319806,0.038882549175598614,0.1741213648696874,0.025501110955839745,0.5095101127616931,0.38633654147493457,0.1693438995893373,45209.0,0.07097237819659484,0.13430506067544187,0.7898811265620798,0.12346188674358986,0.7765492207338539,0.5886165731777947,0,0
21,Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,-0.1351,0.09340000199999998,No,Male,Nonwhite,No,No,No,No,No,No,0.8258786351303127,0.10206141308319806,0.038882549175598614,0.1741213648696874,0.025501110955839745,0.5095101127616931,0.38633654147493457,0.1693438995893373,45209.0,0.07097237819659484,0.13430506067544187,0.7898811265620798,0.12346188674358986,0.7765492207338539,0.5886165731777947,0,0
22,Paul Spencer,AR,U.S. House Arkansas District 2,Representative,-0.1351,0.1255,No,Male,White,No,No,No,No,No,No,0.8258786351303127,0.10206141308319806,0.038882549175598614,0.1741213648696874,0.025501110955839745,0.5095101127616931,0.38633654147493457,0.1693438995893373,45209.0,0.07097237819659484,0.13430506067544187,0.7898811265620798,0.12346188674358986,0.7765492207338539,0.5886165731777947,0,0
23,Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,-0.34560001,1.0,Yes,Male,White,No,No,No,No,No,No,0.8473644640045479,0.01701077942889564,0.08215092208294243,0.152635535995452,0.052792923349726795,0.5053279549010388,0.3756034354792964,0.1823016260857738,40606.0,0.06204091499208058,0.1576021207020373,0.8071758325761579,0.13407955980033764,0.798410001143246,0.612954049294988,0,0
